# ASD-STE100 Simplified Technical English, Issue 9 (January 2025), Part 2, Dictionary.
# One line per entry, sorted by word. Fields are separated by " | ":
#
#   word (part of speech) | verdict | approved meaning | use instead
#
# The verdict is "approved" or "not approved". A dash means the field does not apply.
# For an approved word, "use instead" gives what to use for its other senses, and is a
# dash when the word carries only the one meaning. For a word that is not approved, the
# field gives the approved words to use, or the standard's guidance where it gives no
# substitute. (TN) marks a technical noun and (TV) a technical verb, which name a
# category for your own terms rather than a specific word.
#
# Look a word up with its trailing space, so the match is the entry and not a mention
# of the word somewhere else:
#
#   grep -i "^work " ste100-words.txt
INDICATION (n) | approved | something that is shown | -
induce (v) | not approved | - | CAUSE (v)
ineffective (adj) | not approved | - | UNSERVICEABLE (adj), UNSATISFACTORY (adj), NOT OPERATE
inflammable (adj) | not approved | - | FLAMMABLE (adj)
INFLATE (v) | approved | to make or become larger as a result of pressurization by a gas | -
inform (v) | not approved | - | TELL (v)
INFORMATION (n) | approved | data collected and made available for a specified function | -
ingest (v) | not approved | - | SWALLOW (v)
ingress (n) | not approved | - | GO INTO
inhale (v) | not approved | - | BREATHE (v)
inhibit (v) | not approved | - | PREVENT (v)
INITIAL (adj) | approved | that is related to the start | -
INITIALLY (adv) | approved | at the start | -
initiate (v) | not approved | - | START (v)
inject (v) | not approved | - | PUT (v)
injection (n) | not approved | - | PUT (v)
injure (v) | not approved | - | INJURY (n)
INJURY (n) | approved | damage to a person | -
INNER (adj) | approved | nearer to the center of an object | -
inoperative (adj) | not approved | - | OFF (adj), NOT OPERATE
INPUT (n) | approved | the data, power, or energy put into equipment or a system | -
insert (v) | not approved | - | PUT (v), ENGAGE (v)
inside (adj) | not approved | - | INNER (adj)
inside (n) | not approved | - | INNER (adj)
inside (prep) | not approved | - | IN (prep), INTO (prep)
inspect (v) | not approved | - | EXAMINE (v), INSPECTION (n)
INSPECTION (n) | approved | the procedure which compares an object with its standard or specification | -
INSTALL (v) | approved | to attach an item in or to a second item | -
INSTALLATION (n) | approved | the procedure which installs an item | -
instead (adv) | not approved | - | ALTERNATIVE (n)
instead of (prep) | not approved | - | ALTERNATIVE (n)
INSTRUCTION (n) | approved | a command that you must obey | -
INSTRUMENT (n) | approved | an item which measures and/or shows | -
insufficient (adj) | not approved | - | NOT SUFFICIENT
INSULATION (n) | approved | a material that helps to prevent the movement of energy | -
insure (v) | not approved | - | MAKE SURE (v)
intact (adj) | not approved | - | NOT DAMAGED
integral (adj) | not approved | - | PART (n)
INTENSITY (n) | approved | the quantity of strength, force, or energy | -
INTERCHANGE (v) | approved | to put or use each of two things in the place of the other without change | -
INTERCHANGEABLE (adj) | approved | that you can interchange | -
interconnect (v) | not approved | - | CONNECT (v)
INTERFACE (n) | approved | the connection between two systems or components | -
interfere (v) | not approved | - | HIT (v), CATCH (v), TOUCH (v), INTERFERENCE (TN)
interference (n) | not approved | - | HIT (v), CATCH (v), TOUCH (v)
interior (n) | not approved | - | INTERNALLY (adv), INTERNAL (adj)
intermediate (adj) | not approved | - | MIDDLE (adj), BETWEEN (prep)
INTERMITTENT (adj) | approved | that stops and starts again, not continuous | -
INTERMITTENTLY (adv) | approved | in an intermittent manner | -
INTERNAL (adj) | approved | of, or on, the inner side and inner space | -
INTERNALLY (adv) | approved | of, or on, the inner side and inner space | -
interrupt (v) | not approved | - | STOP (v)
intersect (v) | not approved | - | INTERSECTION (TN)
INTERVAL (n) | approved | a distance or gap between two points in space or time | -
INTO (prep) | approved | movement to something and access to it; function word that shows change, condition, result | -
investigate (v) | not approved | - | INVESTIGATION (n)
INVESTIGATION (n) | approved | an official and accurate inquiry or research | -
inward (adj) | not approved | - | INNER (adj)
inward (adv) | not approved | - | IN (adv)
IRREGULAR (adj) | approved | not regular | -
irregularity (n) | not approved | - | DAMAGE (n), DEFECT (TN), IRREGULAR (adj), UNUSUAL (adj)
IRREGULARLY (adv) | approved | not regularly | -
ISOLATE (v) | approved | to prevent a supply or connection to | -
isolation (n) | not approved | - | ISOLATE (v)
IT (pron) | approved | that refers to a thing that was previously mentioned; that refers to an explicit or implicit state of affairs or circumstances | -
ITEM (n) | approved | a thing that is determined or specified | -
ITS (adj) | approved | belonging to a thing | -
jack (v) | not approved | - | JACK (TN)
jam (v) | not approved | - | FREELY (adv)
job (n) | not approved | - | WORK (n), TASK (n)
join (v) | not approved | - | BOND (v), ATTACH (v), CONNECT (v)
JOINT (n) | approved | the area at which two surfaces or edges touch or are attached | -
just (adv) | not approved | - | IMMEDIATELY (adv)
KEEP (v) | approved | to continue to have or hold | -
key (v) | not approved | - | REFER (v), KEY (TN)
KILL (v) | approved | to cause death | -
kind (n) | not approved | - | TYPE (n)
kink (v) | not approved | - | KINK (TN)
knock (v) | not approved | - | HIT (v)
KNOW (v) | approved | to be sure of data, to have data ready to use | -
label (v) | not approved | - | IDENTIFY (v), LABEL (TN)
lack (n) | not approved | - | NOT SUFFICIENT
LAMINATED (adj) | approved | made of laminations | -
LAMINATION (n) | approved | layers of one or more materials bonded together | -
land (v) | not approved | - | LANDING (TN)
LARGE (adj) | approved | more than average in | -
LAST (adj) | approved | that comes at the end | -
LAST (adv) | approved | after other persons or things | -
last (v) | not approved | - | CONTINUE (v)
LATCH (v) | approved | to hold something in position with a latching device | -
later (adj) | not approved | - | SUBSEQUENT (adj), THEN (adv)
later (adv) | not approved | - | SUBSEQUENTLY (adv), WHEN (conj), AFTER (prep)
LATERAL (adj) | approved | related to or on the side | -
LATERALLY (adv) | approved | in a lateral direction | -
lay (v) | not approved | - | PUT (v)
LAYER (n) | approved | a material applied to a surface or put on, or below, a second material | -
lead (v) | not approved | - | PUT (v)
LEAK (n) | approved | a crack, gap or hole which lets fluid or light go into or come out of something | -
leak (v) | not approved | - | LEAK (n)
LEAKAGE (n) | approved | the quantity of material that goes through a leak | -
least (adv) | not approved | - | MINIMUM (adj)
least (at least) (adv) | not approved | - | MINIMUM (adj), MINIMUM (n)
leave (v) | not approved | - | KEEP (v), LET (v), GO (v)
LEFT (adj) | approved | on the west side when you look north | -
left-hand (adj) | not approved | - | LEFT (adj)
legible (adj) | not approved | - | READ (v)
LENGTH (n) | approved | the distance from one end to the other end; the longer or longest of the three dimensions of an object | -
lengthen (v) | not approved | - | INCREASE (v)
LESS (adj) | approved | of smaller dimension, value, quantity, volume, or number forms of this adjective. | -
LET (v) | approved | to give opportunity | -
lethal (adj) | not approved | - | KILL (v)
LEVEL (adj) | approved | horizontal to a known datum | -
LEVEL (n) | approved | a horizontal line, plane, surface, or condition | -
level (v) | not approved | - | LEVEL (adj)
liberal (adj) | not approved | - | LARGE (adj), THICK (adj)
liberally (adv) | not approved | - | LARGE (adj), THICK (adj)
lie (v) | not approved | - | BE (v)
LIFE (n) | approved | the time during which you can use an item or object | -
LIFT (v) | approved | to move something up | -
LIGHT (adj) | approved | that has a small mass, | THIN (adj), SMALL (adj)
light (v) | not approved | - | COME ON
LIGHTING (n) | approved | that which gives light to | -
LIGHTLY (adv) | approved | in a light manner | -
LIMIT (n) | approved | a specified maximum or minimum quantity, number, time, or distance | -
limitation (n) | not approved | - | LIMIT (n)
limited (adj) | not approved | - | SMALL (adj)
LINEAR (adj) | approved | in a straight line | -
LINEARLY (adv) | approved | in a straight line | -
link (v) | not approved | - | CONNECT (v), ATTACH (v)
LIQUID (adj) | approved | that has the properties of a liquid | -
LIQUID (n) | approved | a material that is not a gas or a solid | -
list (v) | not approved | - | RECORD (v), SHOW (v), LIST (TN)
LISTEN (v) | approved | to use your ears to hear or find | -
little (adj) | not approved | - | SMALL (adj), SHORT (adj), NOT SUFFICIENT
little (a little) (adj) | not approved | - | SMALL QUANTITY
little (a little) (adv) | not approved | - | SMALL (adj)
LIVE (adj) | approved | that includes explosive material For electrical systems, use: | ENERGIZE (v)
load (v) | not approved | - | INSTALL (v), LOAD (TN)
LOCAL (adj) | approved | applicable to a given location or position | -
LOCALLY (adv) | approved | applicable to a given location or position | -
locate (v) | not approved | - | FIND (v), ENGAGE (v), PUT (v)
LOCATION (n) | approved | a place or site that you can find | -
LOCK (v) | approved | to attach something, or hold it in position with a locking device | -
log (v) | not approved | - | RECORD (v)
LONG (adj) | approved | that has a specified or duration | -
long (as long as) (conj) | not approved | - | WHILE (conj)
long (no longer) (adv) | not approved | - | NOT... AT THIS TIME, UNTIL...NOT
LONGITUDINAL (adj) | approved | related to the longitudinal axis | -
LONGITUDINALLY (adv) | approved | in a longitudinal direction | -
LOOK (v) | approved | to use your eyes to see or find | -
LOOP (n) | approved | a circular shape made in a flexible material | -
loop (v) | not approved | - | LOOP (n)
LOOSE (adj) | approved | on, in, but not attached; not tight | TENSION (TN)
LOOSELY (adv) | approved | not tightly | -
LOOSEN (v) | approved | to cause to be not tight | -
lose (v) | not approved | - | DECREASE (v)
lost (adj) | not approved | - | DECREASE (v), NOT FIND
LOW (adj) | approved | that is of small value | -
LOWER (v) | approved | to move something down | -
lowermost (adj) | not approved | - | BOTTOM (adj)
LUBRICATE (v) | approved | to apply lubricant | -
lukewarm (adj) | not approved | - | WARM (adj)
MAGNETIC (adj) | approved | related to the properties of a magnet | -
MAGNETICALLY (adv) | approved | in a magnetic manner | -
main (adj) | not approved | - | PRIMARY (adj)
maintain (v) | not approved | - | KEEP (v), HOLD (v), MAINTENANCE (n)
MAINTENANCE (n) | approved | the servicing and/or the repair of something to keep it in the correct condition | -
major (adj) | not approved | - | PRIMARY (adj)
MAKE (v) | approved | to manufacture, to cause to occur or to become | -
make certain (v) | not approved | - | MAKE SURE (v)
MAKE SURE (v) | approved | to verify and/or do the necessary steps | -
maladjusted (adj) | not approved | - | INCORRECTLY ADJUSTED
MALFUNCTION (n) | approved | incorrect operation | -
MANDATORY (adj) | approved | that which you must do, use, or obey If you want to use this word in procedures, think about a necessary safety instruction. | -
manipulate (v) | not approved | - | MOVE (v), ADJUST (v)
MANUAL (adj) | approved | operated with the hands | -
MANUAL (n) | approved | a publication that gives data related to a special subject | -
MANUALLY (adv) | approved | with your hands | -
manufacture (v) | not approved | - | MAKE (v)
MANY (adj) | approved | of a large number If it is possible, give the range, number, or quantity. | -
MARK (n) | approved | something that you make or is made to show an identification, location, or direction | -
mark (v) | not approved | - | IDENTIFY (v), MARK (n)
mask (v) | not approved | - | APPLY (v)
MASS (n) | approved | the quantity of matter that is in an object and relates to its weight. The equivalent of inertia | -
match (v) | not approved | - | ALIGN (v), AGREE (v)
mate (v) | not approved | - | CONNECT (v), ENGAGE (v), TOGETHER (adv)
MATERIAL (n) | approved | a substance from which an item is made, or an item that is necessary to do a task. | -
MATING (adj) | approved | made to touch | -
MATT (adj) | approved | (or | -
matter (n) | not approved | - | MATERIAL (n)
MAXIMUM (adj) | approved | related to the largest dimension, quantity, number, or value | -
MAXIMUM (n) | approved | the largest dimension, quantity, number, or value | -
may (v) | not approved | - | CAN (v), POSSIBLY (adv)
MEASURE (v) | approved | to find the dimensions, capacity, or quantity of something | -
MECHANICAL (adj) | approved | related to or operated with a mechanism | -
MECHANICALLY (adv) | approved | in a mechanical manner | -
MECHANISM (n) | approved | an assembly of mechanical parts that are made to operate together | -
MEDICAL (adj) | approved | related to medicine | -
medium (adj) | not approved | - | MODERATE (adj)
meet (v) | not approved | - | ENGAGE (v), TOUCH (v)
MELT (v) | approved | to change or to cause something to change from solid to liquid because of heat | -
mention (v) | not approved | - | GIVE (v)
mesh (v) | not approved | - | ENGAGE (v)
meteorological (adj) | not approved | - | WEATHER (n)
METHOD (n) | approved | a special type of procedure used to get a specified result | -
mid (adj) | not approved | - | MIDDLE (adj)
MIDDLE (adj) | approved | at a point that is between two other points | -
MIDDLE (n) | approved | a point that is at or near the center | -
mild (adj) | not approved | - | WEAK (adj)
minimize (v) | not approved | - | MINIMUM (n)
MINIMUM (adj) | approved | related to the smallest dimension, quantity, number, or value | -
MINIMUM (n) | approved | the smallest dimension, quantity, number, or value | -
minor (adj) | not approved | - | SMALL (adj)
MINUS (prep) | approved | with the subtraction of | -
miscellaneous (adj) | not approved | - | OTHER (adj), ALL (adj)
misrigged (adj) | not approved | - | INCORRECTLY ADJUSTED
MISSING (adj) | approved | that is not there | -
mix (n) | not approved | - | MIXTURE (n)
MIX (v) | approved | to put together two or more materials to become one; to become combined | -
MIXTURE (n) | approved | the result that you get when you mix materials | -
MOBILE (adj) | approved | that is made to move easily | -
MODE (n) | approved | a special condition of operation | -
MODERATE (adj) | approved | between low and high values | -
MODERATELY (adv) | approved | in a moderate manner | -
modify (v) | not approved | - | CHANGE (v), MODIFICATION (TN)
MOIST (adj) | approved | moderately wet | -
moisten (v) | not approved | - | MOIST (adj)
MOMENTARILY (adv) | approved | for a short time | -
momentary (adj) | not approved | - | MOMENTARILY (adv)
MONITOR (v) | approved | to do a check at something for a period of time to find if there is a change | -
MOOR (v) | approved | to hold something in position with ropes and cables | -
MORE (adj) | approved | a large quantity of | -
MORE (adv) | approved | to a larger degree | -
MOST (adj) | approved | to the largest quantity of | -
MOST (adv) | approved | to the largest degree | -
motion (n) | not approved | - | MOVEMENT (n)
motor (v) | not approved | - | DRY-MOTOR (TV), WET-MOTOR (TV), MOTORING (TN)
mount (v) | not approved | - | INSTALL (v), ATTACH (v), PUT (v)
MOVABLE (adj) | approved | that can move if necessary | -
MOVE (v) | approved | to change or cause to change position or location | -
MOVEMENT (n) | approved | a change of position or location | -
MUCH (adj) | approved | of relatively large quantity, or volume | -
MUCH (adv) | approved | to a great degree or extent | -
MULTIPLY (v) | approved | to use multiplication to get a result | INCREASE (v)
MUST (v) | approved | auxiliary modal verb that shows obligation | -
NAME (n) | approved | the identification you give to a person or an object | -
NEAR (adj) | approved | at or to a relatively short | -
NEAR (prep) | approved | approaching in space or condition | -
nearly (adv) | not approved | - | ALMOST (adv)
NECESSARY (adj) | approved | that must be | -
need (v) | not approved | - | NECESSARY (adj)
neither (adj) | not approved | - | TWO (TN)
neither (pron) | not approved | - | TWO (TN)
NEUTRAL (adj) | approved | that has no effect; that is not acid or alkaline | -
neutralize (v) | not approved | - | NEUTRAL (adj)
never (adv) | not approved | - | DO NOT
NEW (adj) | approved | not used before | -
NEXT (adj) | approved | the first occurrence that follows immediately after in time or sequence. | -
next (adv) | not approved | - | THEN (adv)
next to (prep) | not approved | - | ADJACENT TO (prep)
NO (adj) | approved | not any | -
NO (adv) | approved | function word that shows the negative answer to a question | -
NOISE (n) | approved | an unwanted sound | -
noisy (adj) | not approved | - | NOISE (n)
NONE (pron) | approved | not one, not anyone | -
nor (conj) | not approved | - | NOT (adv)
normal (adj) | not approved | - | USUAL (adj), CORRECT (adj)
normally (adv) | not approved | - | USUALLY (adv), CORRECTLY (adv)
NOSE (n) | approved | the front end or part, a part that protrudes | -
NOT (adv) | approved | adverb of negation | -
NOTCH (n) | approved | an area in the shape of a "V" | -
note (v) | not approved | - | RECORD (v)
notify (v) | not approved | - | TELL (v), CONTACT (v), WRITE (v)
now (adv) | not approved | - | AT THIS TIME
NUMBER (n) | approved | a symbol or word that identifies an integer and/or decimal; an amount that you can count or calculate | -
OBEY (v) | approved | to do that which the procedures or instructions tell you | -
OBJECT (n) | approved | something that you can see or touch | -
observe (v) | not approved | - | MONITOR (v), SEE (v), OBEY (v)
obstruct (v) | not approved | - | CATCH (v), PREVENT (v), BLOCKAGE (n)
obstructed (adj) | not approved | - | BLOCKED (adj), CLOGGED (adj)
obstruction (n) | not approved | - | BLOCKAGE (n)
obtain (v) | not approved | - | GET (v)
OCCUR (v) | approved | to be found or to take place, to come to be | -
OF (prep) | approved | function word that shows: from, belonging to, having, or containing | -
OFF (adj) | approved | not in operation | -
OFF (adv) | approved | not in operation; not in contact | -
OFF (prep) | approved | not in contact with | -
often (adv) | not approved | - | FREQUENTLY (adv)
oil (v) | not approved | - | LUBRICATE (v), OIL (TN)
oil-free (adj) | not approved | - | OIL (TN)
old (adj) | not approved | - | REMAINING (adj), USED (adj), EXPIRED (adj)
omit (v) | not approved | - | DO NOT DO, IGNORE (v)
ON (adj) | approved | in operation | -
ON (adv) | approved | in operation; in contact | -
ON (prep) | approved | function word that shows contact, support, direction | -
once (adv) | not approved | - | ONE (TN)
once (conj) | not approved | - | WHEN (conj)
ONE (pron) | approved | that refers to a single person or object You can also use this word as a technical noun. | -
ONLY (adj) | approved | nothing more or different | -
ONLY (adv) | approved | exclusively | -
ONTO (prep) | approved | to a position on or upon | -
opaque (adj) | not approved | - | NOT TRANSPARENT
OPEN (adj) | approved | that lets something go in or out | -
OPEN (v) | approved | to move or cause to move from the closed position; to operate a circuit breaker to interrupt an electrical circuit | -
OPENING (n) | approved | an aperture or hole in a surface | -
operable (adj) | not approved | - | OPERATE (v)
OPERATE (v) | approved | to put, keep, or be in action | -
OPERATION (n) | approved | that which occurs when something operates or is operated | -
operational (adj) | not approved | - | SERVICEABLE (adj), OPERATE (v)
opportunity (n) | not approved | - | If it is possible, be accurate.
OPPOSITE (adj) | approved | in the other direction; across from | -
OPPOSITE (prep) | approved | across from | -
option (n) | not approved | - | ALTERNATIVE (n), POSSIBLE (adj), CAN (v)
OPTIONAL (adj) | approved | not mandatory | -
OR (conj) | approved | function word that shows a choice word with the meaning of otherwise. Use a different construction. | -
order (n) | not approved | - | SEQUENCE (n)
order (v) | not approved | - | TELL (v), ORDER (TN)
orient (v) | not approved | - | POINT (v)
origin (n) | not approved | - | SOURCE (n)
original (adj) | not approved | - | INITIAL (adj)
originate (v) | not approved | - | SOURCE (n)
OTHER (adj) | approved | not the same as that given before | -
OTHER (pron) | approved | that which is not the same as that given before | -
otherwise (adv) | not approved | - | IF ...NOT, DIFFERENTLY (adv)
OUT (adj) | approved | away from, or not in, a location or position | -
OUT (adv) | approved | to a position away from the inside | -
OUT OF (prep) | approved | through or from the inside to the outside; not in | -
OUTBOARD (adj) | approved | farther from the longitudinal axis of something | -
OUTBOARD (adv) | approved | in, or to, a position farther from the longitudinal axis of something | -
OUTBOARD OF (prep) | approved | at a position farther from the longitudinal axis | -
OUTDOORS (adv) | approved | not in a building | -
OUTER (adj) | approved | located on the outside or farther from the center of an object | -
outline (v) | not approved | - | GIVE (v)
OUTPUT (n) | approved | the data, power, energy that comes out of equipment or a system | -
outside (adj) | not approved | - | EXTERNAL (adj), OUTER (adj)
outside (adv) | not approved | - | OUTDOORS (adv)
outside (n) | not approved | - | EXTERNAL (adj), OUTER (adj)
outside (prep) | not approved | - | NEAR (prep)
outwards (adv) | not approved | - | OUT (adv)
over (prep) | not approved | - | ABOVE (prep), ALONG (prep), ON (prep), MORE THAN
OVERBOARD (adv) | approved | out of a vessel | -
overfill (v) | not approved | - | TOO MUCH
overfull (adj) | not approved | - | TOO FULL
overhaul (v) | not approved | - | OVERHAUL (TN)
overheat (v) | not approved | - | TOO HOT
OVERLAP (n) | approved | the area in which a part of one surface is on a part of a second surface | -
overlap (v) | not approved | - | OVERLAP (n)
OVERRIDE (v) | approved | to prevent the automatic operation of a part or system | -
overtighten (v) | not approved | - | TIGHTEN TOO MUCH, TOO TIGHT, TOO TIGHTLY
pack (v) | not approved | - | PUT (v), FILL (v)
PAINT (v) | approved | to apply paint to something | -
PAIR (n) | approved | two objects that are the same or almost the same, and/or that you use together | -
PARALLEL (adj) | approved | along lines that stay a constant distance apart at all points | -
PARK (v) | approved | to stop a vehicle and to let it stay in one position on the ground | -
PART (n) | approved | a constituent of an object, machine, component, assembly, or equipment; A piece or section of a whole | -
part (v) | not approved | - | DISCONNECT (v)
partial (adj) | not approved | - | NOT FULLY
partially (adv) | not approved | - | NOT FULLY
PARTICLE (n) | approved | a very small piece of material | -
particular (adj) | not approved | - | ONLY APPLICABLE, VERY (adv)
particularly (adv) | not approved | - | VERY (adv)
partly (adv) | not approved | - | NOT FULLY
pass (v) | not approved | - | GO (v), THROUGH (prep), GIVE (v)
passage (n) | not approved | - | FLOW (n), HOLE (n), OPENING (n)
past (prep) | not approved | - | AROUND (prep), THROUGH (prep)
PASTE (n) | approved | a wet, flexible mixture or compound | -
PATCH (n) | approved | a piece of material that you use to repair a surface or hole | -
penetrate (v) | not approved | - | GO THROUGH, GO INTO
people (n) | not approved | - | PERSON (n), PERSONNEL (n)
per (prep) | not approved | - | FOR EACH, REFER (v)
perforated (adj) | not approved | - | HOLE (n)
perform (v) | not approved | - | DO (v), MEASURE (v)
PERFORMANCE (n) | approved | the ability of a part, a mechanism, or system to do its necessary function when you compare it with a standard or specification | DO (v)
PERIOD (n) | approved | a quantity of time | -
periodically (adv) | not approved | - | INTERVAL (n)
PERMANENT (adj) | approved | without a limit in time | -
PERMANENTLY (adv) | approved | in a permanent manner | -
permissible (adj) | not approved | - | PERMITTED (adj)
permit (v) | not approved | - | LET (v)
PERMITTED (adj) | approved | allowed | -
PERPENDICULAR (adj) | approved | at a 90 degree angle to a given line or plane | -
persist (v) | not approved | - | CONTINUE (v)
persistent (adj) | not approved | - | CONTINUOUS (adj)
PERSON (n) | approved | a human being | -
PERSONNEL (n) | approved | persons employed in a group or organization | -
pertinent (adj) | not approved | - | APPLICABLE (adj)
picket (v) | not approved | - | MOOR (v)
PIECE (n) | approved | a quantity or segment of a whole that you can use on its own, or that can operate as an individual item | -
pierced (adj) | not approved | - | HOLE (n)
placard (v) | not approved | - | PUT (v) (A PLACARD [TN])
place (n) | not approved | - | POSITION (n), AREA (n)
place (v) | not approved | - | PUT (v)
PLAY (n) | approved | free movement, the length or dimension of this movement | -
plot (v) | not approved | - | MAKE (v) (A PLOT [TN])
plug (v) | not approved | - | CONNECT (v), SEAL (v) (WITH A PLUG [TN] OR PLUGS [TN])
PLUS (prep) | approved | with the addition of | -
PNEUMATIC (adj) | approved | related to, or operated by gas pressure | -
PNEUMATICALLY (adv) | approved | with pneumatic power | -
POINT (n) | approved | a sharp or tapered end; an accurate location | -
POINT (v) | approved | to show the position or direction of; to turn something in a specified direction | -
POISONOUS (adj) | approved | that contains poison | -
POLISH (v) | approved | to make smooth or shiny | -
poor (adj) | not approved | - | UNSATISFACTORY (adj), DEFECTIVE (adj), UNSERVICEABLE (adj)
pop (v) | not approved | - | OPEN (v), PROTRUDE (v), OUT (adv)
port (adj) | not approved | - | LEFT (adj)
portion (n) | not approved | - | PIECE (n), PART (n)
POSITION (n) | approved | the attitude or setting of something that you can adjust, or the place or site where you put something | -
position (v) | not approved | - | PUT (v), SET (v)
POSSIBLE (adj) | approved | that can occur | -
POSSIBLY (adv) | approved | that can occur | -
potential (adj) | not approved | - | POSSIBLE (adj)
pour (v) | not approved | - | PUT (v)
power (v) | not approved | - | SUPPLY (v)
PRECAUTION (n) | approved | that which you do to prevent injury and/or damage | -
precautionary (adj) | not approved | - | PRECAUTION (n)
precede (v) | not approved | - | BEFORE (conj)
precise (adj) | not approved | - | ACCURATE (adj)
precisely (adv) | not approved | - | ACCURATELY (adv)
PRECISION (n) | approved | the quality of being accurate | -
preferable (adj) | not approved | - | RECOMMEND (v)
preferably (adv) | not approved | - | IF IT IS POSSIBLE
preheat (v) | not approved | - | HEAT (n)
preload (v) | not approved | - | LOAD (TN)
premature (adj) | not approved | - | BEFORE (conj)
prematurely (adv) | not approved | - | BEFORE (conj)
preparation (n) | not approved | - | PREPARE (v)
PREPARE (v) | approved | to make or become ready | -
prescribed (adj) | not approved | - | SPECIFIED (adj)
presence (n) | not approved | - | BE (v)
present (adj) | not approved | - | BE (v)
present (v) | not approved | - | GIVE (v), SHOW (v)
preserve (v) | not approved | - | PRESERVATION (TN)
preset (v) | not approved | - | SET (v)
press (v) | not approved | - | PUSH (v)
PRESSURIZATION (n) | approved | the procedure that supplies or increases the pressure | -
PRESSURIZE (v) | approved | to supply pressure | -
PREVENT (v) | approved | to make sure that something does not occur | -
prevent (from) (v) | not approved | - | LET (v)
preventive (adj) | not approved | - | PREVENT (v)
PREVIOUS (adj) | approved | that goes before in an unspecified time or sequence Be accurate. Use LAST (adj) for the event that occurs immediately before in time or sequence. | -
PREVIOUSLY (adv) | approved | before, earlier, in the past | -
primarily (adv) | not approved | - | PRIMARY (adj)
PRIMARY (adj) | approved | first in importance | -
prime (v) | not approved | - | FILL (v), PUT (v)
principal (adj) | not approved | - | PRIMARY (adj)
prior to (prep) | not approved | - | BEFORE (conj)
priority (n) | not approved | - | IMPORTANT (adj), BEFORE (prep), FIRST (adv)
probability (n) | not approved | - | RISK (n)
probable (adj) | not approved | - | VERY POSSIBLE, RISK (n)
probe (v) | not approved | - | FIND (v) (WITH A PROBE [TN])
PROBLEM (n) | approved | something that is difficult and for which you must find the correct answer | -
PROCEDURE (n) | approved | steps that are in a sequence | -
proceed (v) | not approved | - | CONTINUE (v)
process (n) | not approved | - | PROCEDURE (n)
process (v) | not approved | - | DO (v), PROCEDURE (n)
process (in the process of) (prep) | not approved | - | DURING (prep), WHILE (conj)
produce (v) | not approved | - | CAUSE (v), GIVE (v), MAKE (v), SUPPLY (v)
product (n) | not approved | - | Be accurate. If it is possible, use the name of the product.
profile (n) | not approved | - | CONTOUR (n)
program (n) | not approved | - | SEQUENCE (n)
progress (n) | not approved | - | CONTINUE (v), IN PROGRESS
progress (v) | not approved | - | CONTINUE (v)
progressive (adj) | not approved | - | GRADUALLY (adv)
progressively (adv) | not approved | - | GRADUALLY (adv)
prohibit (v) | not approved | - | PREVENT (v), TELL (NOT TO) (v)
prolonged (adj) | not approved | - | LONG (adj)
prompt (adj) | not approved | - | IMMEDIATELY (adv)
propagation (n) | not approved | - | INCREASE (v)
proper (adj) | not approved | - | CORRECT (adj)
properly (adv) | not approved | - | CORRECTLY (adv)
PROPERTY (n) | approved | a characteristic or attribute of an object | -
PROPORTION (n) | approved | the ratio of something to something else | RELATION (n)
proportional (adj) | not approved | - | RELATION (n), PROPORTION (n)
proportionally (adv) | not approved | - | RELATION (n)
protect (v) | not approved | - | PREVENT (v), PROTECTION (n)
PROTECTION (n) | approved | something to prevent injury, damage, or failure | -
PROTECTIVE (adj) | approved | that gives protection | -
PROTRUDE (v) | approved | to be farther forward or out from an adjacent surface | -
provide (v) | not approved | - | GIVE (v), SUPPLY (v)
provided (that) (conj) | not approved | - | IF (conj)
providing (that) (conj) | not approved | - | IF (conj)
proximity (n) | not approved | - | NEAR (prep)
PULL (v) | approved | to use a force on something to move it toward the source of the force Use this word together with a preposition or an adverb to show direction. | -
pump (v) | not approved | - | REMOVE (v) (WITH A PUMP [TN]), MOVE (v) (WITH A PUMP [TN])
puncture (v) | not approved | - | HOLE (n)
purge (v) | not approved | - | REMOVE (v)
purify (v) | not approved | - | CLEAN (v)
PUSH (v) | approved | to apply a force to something to move it away from the source of the force; to move with a force against something Use this word together with a preposition or an adverb to show direction. | -
PUT (v) | approved | to cause something to move or to be in a specified position or condition | -
PUT ON (v) | approved | to cover your skin or face with clothing, or other items that give protection | -
qualified (adj) | not approved | - | APPROVED (adj)
QUALITY (n) | approved | condition, property, or type | -
QUANTITY (n) | approved | a specified amount or number For an amount that you can count, use | NUMBER (n)
quarterly (adv) | not approved | - | INTERVAL (n)
questionable (adj) | not approved | - | NOT SURE
quick (adj) | not approved | - | QUICKLY (adv)
QUICKLY (adv) | approved | in a fast manner | -
quit (v) | not approved | - | GO (v), STOP (v)
quote (v) | not approved | - | GIVE (v)
RADIAL (adj) | approved | along a radius | -
RADIALLY (adv) | approved | along a radius | -
RADIOACTIVE (adj) | approved | related to radioactivity | -
raise (v) | not approved | - | LIFT (v), INCREASE (v), RETRACT (v)
RANDOM (adj) | approved | not regular | -
RANDOMLY (adv) | approved | not regularly | -
RANGE (n) | approved | the limits within which something operates | -
rapid (adj) | not approved | - | FAST (adj)
rapidly (adv) | not approved | - | QUICKLY (adv)
RATE (n) | approved | a measurement of how frequently or how quickly something occurs | -
re- (prefix) | not approved | - | In general, use the word AGAIN (adv) or BACK (adv) with the basic word to replace words that have "re-" as a prefix.
